asset,mu,omega,alpha,beta,persistence,nu,loglikelihood,aic,bic,converged
Japan Equity,0.11891709929662107,0.36968065379874004,0.25081928413259286,0.5154870706398221,0.7663063547724149,5.985051569152694,-1167.888875732677,2345.777751465354,2368.9179583462515,True
US Equity,0.12907615613024193,0.06752490480191724,0.0817209365959634,0.8565336873308174,0.9382546239267807,6.533072431739643,-1058.465623774776,2126.931247549552,2150.0714544304496,True
Europe Equity,0.09343045603049539,0.08269643602076727,0.052782740960835926,0.8786230052385868,0.9314057461994227,8.281699703176233,-1121.03193081166,2252.06386162332,2275.2040685042175,True
Emerging Equity,0.09873540158578173,0.05969788867457282,0.0871376234728407,0.8825372525094084,0.9696748759822491,5.938872711111784,-1225.8939147196697,2461.7878294393395,2484.928036320237,True
Japan Government Bond,-0.02839319436593056,0.024236420089888626,0.18843244811021256,0.6492879267386676,0.8377203748488802,5.0194965135671845,-256.9998859579134,523.9997719158268,547.1399787967246,True
US Treasury 7-10Y,0.032648183817696526,0.010925143769705138,0.03803524092399208,0.9413035213242629,0.979338762248255,8.380676726796976,-804.699386777681,1619.398773555362,1642.5389804362596,True
Germany Government Bond,0.03371745465579623,0.06864508029813919,0.15146748092023513,0.6803923004623368,0.8318597813825719,10.871409756183919,-698.6685871480677,1407.3371742961353,1430.477381177033,True
UK Gilt,0.04531266331902722,0.15458261038003712,0.13828894312341794,0.5701381860881953,0.7084271292116133,7.367747396482308,-800.4106143439143,1610.8212286878286,1633.9614355687263,True
US IG,0.04015941912135748,0.01624539074971697,0.04278895237894241,0.9281172799263167,0.9709062323052591,8.858230649855535,-827.0982235389405,1664.196447077881,1687.3366539587787,True
US HY,0.061588856046986766,0.006469081929378667,0.0485583769614996,0.9399202225447899,0.9884785995062895,5.100838861859308,-728.5268379290349,1467.0536758580697,1490.1938827389674,True
Europe IG,0.050987857330196264,0.06934799935103587,0.16694179000027373,0.639060400016933,0.8060021900172067,6.836372042924365,-629.2901411314253,1268.5802822628507,1291.7204891437484,True
Europe HY,0.06169875590730098,0.04107253159225476,0.13759889332380235,0.7560842773687333,0.8936831706925357,7.3278921041224265,-652.7407565369892,1315.4815130739785,1338.6217199548762,True
US REIT,0.09102633996475124,0.5341236064556797,0.08515549838832195,0.5381021448237719,0.6232576432120939,5.9884873890206345,-1174.2349538733133,2358.4699077466266,2381.610114627524,True
Japan REIT,0.0046628457468298485,0.174162897194935,0.17116280274590767,0.5008684634494459,0.6720312661953536,6.310599605635569,-789.6561820501868,1589.3123641003735,1612.4525709812713,True
Europe REIT,0.049037587944661176,0.02463422617754374,0.046203743893569536,0.9394963502220344,0.9857000941156039,7.1129279628513045,-1236.0299491577068,2482.0598983154136,2505.200105196311,True
Crude Oil,0.08249734231169427,0.10078400296225466,0.06995420536683294,0.9120072855889061,0.981961490955739,9.889744311162078,-1642.2502282132787,3294.5004564265573,3317.640663307455,True
Gold,0.11016354646386295,0.04669013085302621,0.11991020638527032,0.8678871717958939,0.9877973781811642,6.26765502920901,-1269.1705939687681,2548.3411879375362,2571.4813948184337,True
Copper,0.12596513586472402,0.9317704963350578,0.1577117200467583,0.5625808109902368,0.7202925310369951,4.381432824643584,-1447.840624465683,2905.681248931366,2928.8214558122636,True
USDJPY,0.049556699307467776,0.005054935369252898,0.09931105937552273,0.9006889406248484,1.000000000000371,3.8834632592215854,-602.6648977060074,1215.3297954120148,1238.4700022929126,True
EURJPY,0.045731528599394895,0.041501435101012514,0.20406754300909463,0.6683994434458982,0.8724669864549928,4.4645787610900145,-499.1069621356513,1008.2139242713026,1031.3541311522004,True
GBPJPY,0.0435407263588944,0.04167775100215591,0.17412289722574892,0.7023661427443089,0.8764890399700578,5.142591112264633,-554.9219549732759,1119.8439099465518,1142.9841168274495,True
AUDJPY,0.04647582367857968,0.10506759904723464,0.24917195366241526,0.5156619879282475,0.7648339415906628,6.07924016027185,-687.5095379538496,1385.0190759076993,1408.159282788597,True
